ID,TITLE,BRAND,RATING,COUNT_OF_RATE,CURRENT_PRICE,SHIPPING_PRICE,TOTAL_PRICE,IMG_URL,ITEM_URL,MAX_RESOLUTION,DISPLAY_PORT,HDMI,DIRECT_X,MODEL,CREATED_TIME
09Z-01RT-00022,Sapphire AMD Radeon Nitro R9 380 4GB GDDR5 2DVI/HDMI/DisplayPort PCI-Express Video Card w/ Back Plate,Sapphire Tech,0.0,0,603.0,0.0,603.0,https://c1.neweggimages.com/ProductImageCompressAll300/A5UX_1_20151101557025393.jpg,https://www.newegg.com/p/09Z-01RT-00022,,,,,11242-13-20G,2023-03-23 10:45:10
0RN-009H-00013,MSI GEFORCE GTX 1080 TI AERO 11G OC  NVIDIA GeForce GTX 1080 Ti AERO 11G OC 11GB GDDR5X HDMI/3DisplayPort PCI-Express Video Card,MSI,0.0,0,749.0,0.0,749.0,https://c1.neweggimages.com/ProductImageCompressAll300/A25V_1_20170516394057465.jpg,https://www.newegg.com/p/0RN-009H-00013,,,,,MS#GEFORCEGTX1080TI,2023-03-23 10:45:10
0VE-01PT-00071,"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",EVGA,0.0,0,299.71,0.0,299.71,https://c1.neweggimages.com/ProductImageCompressAll300/AFJ6D2007170B6Q6.jpg,https://www.newegg.com/p/0VE-01PT-00071,,,,,32728039489639,2023-03-23 10:45:10
0VE-01PT-000B1,"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",EVGA,0.0,0,339.97,0.0,339.97,https://c1.neweggimages.com/ProductImageCompressAll300/AFJ6D2007170B6Q6.jpg,https://www.newegg.com/p/0VE-01PT-000B1,,,,DirectX 12,32660328677473,2023-03-23 10:45:10
0YH-02CV-00001,Msi Gtx 1050 Ti Gaming X 4G Geforce Gtx 1050 Ti Graphic Card - 4 Gb Gddr5,MSI,0.0,0,311.99,0.0,311.99,https://c1.neweggimages.com/ProductImageCompressAll300/AAYY_1_201806121447983150.jpg,https://www.newegg.com/p/0YH-02CV-00001,,,,,GTX 1050 TIGAMINGX4G,2023-03-23 10:45:10
0ZK-004R-00063,GIGABYTE GV-N166SOC-6GD Gigabyte VCX GV-N166SOC-6GD GeForce GTX 1660 Super 6GB,GIGABYTE,0.0,0,299.99,49.99,349.98,https://c1.neweggimages.com/ProductImageCompressAll300/A1K6S2004091hUY5.jpg,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166soc-6gd/p/0ZK-004R-00063,,3 x DisplayPort 1.4,1 x HDMI 2.0b,DirectX 12,GIG#GVN166SOC6GD,2023-03-23 10:45:10
0ZK-006Z-000D9,VISIONTEK 900614 RADEON HD7750 PCIE 2GB DDR5,VisionTek,0.0,0,267.02,0.0,267.02,https://c1.neweggimages.com/ProductImageCompressAll300/A25V_1_20191011506120622.jpg,https://www.newegg.com/p/0ZK-006Z-000D9,,,,,VIS#900614,2023-03-23 10:45:10
15J-007H-00011,"Lenovo 4X60M97031 Nvidia Geforce Gt730 - Graphics Card - Gf Gt 730 - 2 Gb Gddr5 - Pcie 2.0 X8 Low Profile - Displayport - For Thinkcentre M710S (Sff, Tower) , M710T (Sff, Tower) , M910S (Sff, Tower)",Lenovo,4.3,3,116.81,0.0,116.81,https://c1.neweggimages.com/ProductImageCompressAll300/AFYUD2111060IAXVQE6.jpg,https://www.newegg.com/lenovo-4x60m97031/p/15J-007H-00011,,,,,4X60M97031,2023-03-23 10:45:10
1B4-0016-065B1,"FM664 - Dell ATI Radeon HD2400 XT, 256MB, DMS-59, TV out, Low Profile, OPGA5",DELL,0.0,0,24.99,0.0,24.99,https://c1.neweggimages.com/ProductImageCompressAll300/ANMWD2102100T3P5.jpg,https://www.newegg.com/p/1B4-0016-065B1,,,,,FM664,2023-03-23 10:45:10
1B4-0016-065T3,"CP309 - Dell ATI Radeon HD2400 XT, 256MB, DMS-59, TV out, Low Profile, OPGA5",DELL,0.0,0,24.99,0.0,24.99,https://c1.neweggimages.com/ProductImageCompressAll300/ANMWD2102100T3P5.jpg,https://www.newegg.com/p/1B4-0016-065T3,,,,,CP309,2023-03-23 10:45:10
1B4-005K-00525,ASUS Video Card TURBO-GTX1070TI-8G TURBO GTX 1070 TI 8GB GDDR5 256-bit PCIE DVI/HDMI/Display Port,ASUS,0.0,0,720.0,0.0,720.0,https://c1.neweggimages.com/ProductImageCompressAll300/ADZG_1_201805071105579551.jpg,https://www.newegg.com/asus-turbo-gtx1070ti-8g/p/1B4-005K-00525,,,,,TURBO-GTX1070TI-8G,2023-03-23 10:45:10
1B4-00JY-000X9,PNY RVCG98GTEE1XXB GeForce 9800GT 1GB DDR3 PCI PNY RVCG98GTEE1XXB GF 9800 GT 1B PCIe,"PNY Technologies, Inc.",0.0,0,283.0,0.0,283.0,https://c1.neweggimages.com/ProductImageCompressAll300/A7U1_1_201910251526110471.jpg,https://www.newegg.com/p/1B4-00JY-000X9,,,,,B017O1VJPW,2023-03-23 10:45:10
1B4-00JY-001R9,PNY XLR8 GeForce GTX 1080 Ti Gaming Overclocked Blower Design Graphic Cards (VCGGTX1080T11PB-OC2),"PNY Technologies, Inc.",0.0,0,749.0,0.0,749.0,https://c1.neweggimages.com/ProductImageCompressAll300/V1RY_1_20190425472373926.jpg,https://www.newegg.com/p/1B4-00JY-001R9,,,,,h2020PB0787G3V9M,2023-03-23 10:45:10
1B4-00JY-002B9,PNY GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 Video Card VCG16504D6DFPPB,"PNY Technologies, Inc.",0.0,0,185.99,0.0,185.99,https://c1.neweggimages.com/ProductImageCompressAll300/1B4-00JY-002B9-08.jpg,https://www.newegg.com/pny-geforce-gtx-1650-vcg16504d6dfppb/p/1B4-00JY-002B9,,,,,VCG16504D6DFPPB,2023-03-23 10:45:10
1B4-00PP-00384,MSI R9 390 GAMING 8G Graphics Card,MSI,0.0,0,650.0,0.0,650.0,https://c1.neweggimages.com/ProductImageCompressAll300/A7U1_1_20200215842811763.jpg,https://www.newegg.com/p/1B4-00PP-00384,,,,,h2020PB00ZPOAYG6,2023-03-23 10:45:10
1B4-00PP-003A2,MSI GTX 1080 Ti Founders Edition Graphic Cards GTX 1080 Ti Founders Edition,MSI,0.0,0,865.0,0.0,865.0,https://c1.neweggimages.com/ProductImageCompressAll300/A7U1_1_202002151811158118.jpg,https://www.newegg.com/p/1B4-00PP-003A2,,,,,h2020PB06XGM2RLC,2023-03-23 10:45:10
1B4-00PP-00539,MSI VCX GTX 1650 D6 AERO ITX OCV1 GTX 1650 D6 AERO ITX OCV1 4G GDR6 128B HDMI,MSI,0.0,0,251.4,0.0,251.4,https://c1.neweggimages.com/ProductImageCompressAll300/AN0MS2011098NCAc.jpg,https://www.newegg.com/p/1B4-00PP-00539,,,,,G165D6AIC1,2023-03-23 10:45:10
1B4-00PP-00779,MSI Radeon RX 6900XT GAMING X TRIO 16G 256-Bit GDDR6 Video Card,MSI,0.0,0,1045.0,0.0,1045.0,https://c1.neweggimages.com/ProductImageCompressAll300/AEUYS210218hoMEs.jpg,https://www.newegg.com/p/1B4-00PP-00779,,,,,MSI6900XTTRIO,2023-03-23 10:45:10
